Date,Mean/Average,Most Bearish Response,Quart 1 (25% at/below),Quart 2 (median),Quart 3 (25% at/above),Most Bullish Response,Standard Deviation,NAAIM Number,S&P 500
4/24/19,92.43,-30,90,100,100,200,38.32,92.43,2927.25
4/17/19,93.37,40,82,100,100,200,29.9,93.37,2900.45
4/10/19,88.9,-30,65,100,100,200,44.35,88.9,2888.21
4/3/19,91.92,9,80,100,100,200,37.44,91.92,2867.24
3/27/19,61.69,-50,38.75,72.5,100,200,58.85,61.69,2805.37
3/20/19,78.25,-50,62,90,100,200,57.44,78.25,2832.57
3/13/19,77.4,-30,52.5,88.5,100,200,50.84,77.4,2810.92
3/6/19,73.9,-30,52.5,83.5,98.75,200,51.87,73.9,2771.45
2/27/19,79.33,-24,50,80,96.43,200,48.78,79.33,2792.38
2/20/19,77.86,-20,57.5,80,98.5,200,46.58,77.86,2784.7
2/13/19,82.01,-20,60,85,100,200,40.51,82.01,2744.73
2/6/19,83.39,-8,60,92,100,200,42.17,83.39,2737.7
1/30/19,76.33,0,52.5,80,100,200,46.03,76.33,2681.05
1/23/19,72.84,-5,50,70,100,200,45.67,72.84,2638.7
1/16/19,75.51,0,45,67.5,100,200,51.01,75.51,2616.1
1/9/19,66.8,0,6,70,99.5,200,60.63,66.8,2584.96
1/2/19,59.43,-25,10,60,100,200,53.3,59.43,2506.85
12/26/18,47.59,0,0,40,82.5,200,50.7,47.59,2467.7
12/19/18,31.96,-100,0,18,62.5,200,63.86,31.96,2506.96
12/12/18,55.51,0,2.5,49.5,94.44,200,50.14,55.51,2651.07
12/5/18,61.96,-100,27.5,75,100,200,61.26,61.96,2700.06
11/28/18,53.21,0,19.25,50,92.81,120,39.99,53.21,2743.79
11/21/18,30.55,-200,2.5,30,79,130,73.89,30.55,2641.89
11/14/18,35.13,-100,7,45,60,107,48.37,35.13,2722.18
11/7/18,64.96,0,50,80,85,100,33.59,64.96,2813.89
10/31/18,61.47,0,45,62.5,85,130,38.96,61.47,2711.74
10/24/18,51.49,-200,22.5,62.5,92.5,150,72.86,51.49,2656.1
10/18/18,67.76,-5,50,70,100,200,45.19,67.76,2809.21
10/10/18,52.86,-133,16.5,50,92.5,200,64.94,52.86,2785.68
10/3/18,84.49,0,60.25,82.5,100,200,43.37,84.49,2925.51
9/26/18,90.73,0,65,90,100,200,44.58,90.73,2905.97
9/19/18,83.92,0,59.75,90,100,200,38.02,83.92,2907.95
9/12/18,90.19,20,75,97,100,200,37.62,90.19,2888.92
9/5/18,85.01,0,66.25,97.5,100,200,43.57,85.01,2888.6
8/29/18,98.3,30,80,100,100,200,38.53,98.3,2914.04
8/22/18,86.46,40,70,82.5,100,200,31.73,86.46,2861.82
8/15/18,78.27,0,52.5,80,100,200,38.94,78.27,2818.37
8/8/18,87.68,28,75,95,100,200,32.78,87.6,2857.7
8/1/18,76.36,0,50,77.5,100,200,40.45,76.36,2813.36
7/25/18,84.96,0,78.75,95,100,200,39.16,84.96,2820.4
7/18/18,82.01,0,62.5,87.5,100,200,38.82,82.01,2815.62
7/11/18,88.56,0,72.5,91,100,200,38.47,88.56,2774.02
7/4/18,76.38,0,53.75,72,99.5,200,46.74,76.38,2713.22
6/27/18,85.06,0,70,95.13,100,200,39,85.06,2699.63
6/20/18,89.2,0,80,95.25,100,200,34.5,89.2,2767.32
6/13/18,103.93,35,85,95.25,100,200,41.63,103.93,2775.63
6/6/18,91.67,11,70,90,100,200,34.51,91.67,2772.35
5/30/18,82.24,0,55,75,100,200,39.76,82.24,2724.01
5/23/18,83.95,-100,70,90,100,200,53.99,83.95,2733.29
5/16/18,85.43,-100,77.5,93.5,100,200,54.33,85.43,2722.46
5/9/18,69.82,0,50,62.5,96.5,200,39.55,69.82,2697.79
5/2/18,52.56,-100,36.25,68,91.25,200,68.15,52.56,2635.67
4/25/18,64.2,-100,36.25,62.5,91.75,200,63.14,64.2,2639.4
4/18/18,77.64,0,65,79,100,200,38.98,77.64,2708.64
4/11/18,65.12,0,45,65,97,200,48.61,65.12,2656.87
4/4/18,55.57,-100,0,67,96,200,58.83,55.57,2644.69
3/28/18,49.36,-100,0,63.5,95,200,66.57,49.36,2605
3/21/18,77.28,-50,50,90,100,200,50.12,77.28,2711.93
3/14/18,85.35,0,67.5,90,100,200,34.69,85.35,2749.48
3/7/18,72.05,-100,50,84,100,200,53.35,72.05,2726.8
2/28/18,81,0,64,84.5,100,200,34.54,81,2713.83
2/21/18,62.69,-100,50,85,95.5,100,50.17,62.69,2701.33
2/14/18,65.43,-100,47,85,98.5,200,55.52,65.43,2698.63
2/7/18,75.9,0,53.75,82,100,200,44.02,75.9,2681.66
1/31/18,84.93,-100,74.5,98.75,100,200,53.07,84.93,2823.81
1/24/18,95.38,0,95,100,100,175,29.33,95.38,2837.54
1/17/18,86.34,0,80,96.88,100,133,27.71,86.34,2802.56
1/10/18,88.88,0,87,95,100,133,25.4,88.88,2748.23
1/3/18,90.4,0,89.75,100,100,134,25.36,90.4,2713.06
12/27/17,96.29,0,87,100,100,200,34.64,96.29,2682.62
12/20/17,101.85,55,85,95,100,200,36.62,101.85,2679.25
12/13/17,120.56,75,95,100,130,200,44.56,120.56,2662.85
12/6/17,89.84,-100,78.5,96.5,100,200,48.44,89.84,2629.57
11/29/17,97.34,0,67.5,95,100,200,47.38,97.34,2626.07
11/22/17,88.37,0,85,95,100,134,27.31,88.37,2599.03
11/15/17,78.51,-150,70,100,100,200,68.59,78.51,2578.87
11/8/17,87.23,0,80,98,100,160,34.74,87.23,2594.38
11/1/17,83.08,-100,61.25,90.5,100,200,57.91,83.08,2579.36
10/25/17,91.37,-100,66,100,100,200,64.26,91.37,2557.15
10/18/17,95.38,0,85,100,100,175,38.42,95.38,2561.26
10/11/17,95.84,0,72.5,100,108.44,200,47.7,95.84,2550.64
10/4/17,109.2,80,88,100,115,175,29.22,109.2,2534.58
9/27/17,106.63,85,93,97,105,170,25.85,106.63,2507.04
9/20/17,102.04,40,77.5,95.5,100,200,42.84,102.04,2508.24
9/13/17,97.13,0,71.75,98.38,100,200,45.25,97.13,2498.37
9/6/17,88.66,0,66.5,90,100,200,52.28,88.66,2465.54
8/30/17,84.08,0,50,85,100,200,46.31,84.08,2457.59
8/23/17,87.93,0,62.5,85,100,190,41.2,87.93,2444.04
8/16/17,85.19,0,56.25,88,100,180,35.52,85.19,2468.11
8/9/17,83.82,0,60,90,100,200,42.6,83.82,2474.2
8/2/17,90.95,0,79,98,100,200,42.98,90.95,2477.57
7/26/17,96.39,0,85,100,100,200,50.26,96.39,2477.13
7/19/17,85.82,0,80,95,100,200,41.82,85.82,2473.83
7/12/17,90.99,0,85,99,100,175,32.99,90.99,2443.25
7/5/17,93.36,0,78,98,100,200,38.94,93.36,2429.01
6/28/17,97.47,-50,85,100,100,200,51.63,97.47,2440.69
6/21/17,92.69,-50,84.5,100,100,200,46.29,92.69,2435.61
6/14/17,93.37,0,85,95,100,200,37.4,93.37,2437.92
6/7/17,92.1,0,78.75,89,100,200,40.95,92.1,2433.14
5/31/17,95.86,0,74,95,100,200,48.39,95.86,2411.8
5/24/17,97.49,0,83.75,100,100,200,43.07,97.49,2404.39
5/17/17,94.62,-100,82,100,100,200,57,94.62,2357.03
5/10/17,95.2,0,78,95,100,200,45.4,95.2,2399.63
5/3/17,82.31,0,75,96,100,200,43.62,82.31,2388.13
4/26/17,88.09,-150,77,100,100,200,59.38,88.09,2387.45
4/19/17,74.2,-150,70,97,100,175,59.96,74.2,2338.17
4/12/17,82.95,-150,77.5,100,100,200,65.17,82.95,2344.93
4/5/17,71.02,-150,52.5,85,100,200,64.78,71.02,2360.16
3/29/17,68.28,-150,52.5,85,100,200,64.36,68.28,2358.57
3/22/17,68.68,-100,50,82,100,150,49.66,68.68,2348.45
3/15/17,80.77,-25,57.5,87.5,100,175,44.97,80.77,2365.45
3/8/17,87.09,0,65,99,100,177,33.99,87.09,2362.98
3/1/17,102.07,0,95,100,100,200,40.98,102.07,2395.96
2/22/17,100.83,0,85,100,100,200,47.31,100.83,2365.38
2/15/17,95.89,0,83.75,100,100,200,46.4,95.89,2349.25
2/8/17,96.26,0,80.25,100,100,200,37.2,96.26,2294.67
2/1/17,94.02,0,80,100,100,200,35.21,94.02,2279.55
1/25/17,99.28,0,80,99,100,200,38.13,99.28,2298.37
1/18/17,94.09,0,85,100,100,200,37.74,94.09,2271.89
1/11/17,89.29,0,69,93.5,100,200,36.19,89.29,2275.32
1/4/17,99.43,0,82.5,100,102.5,200,41.37,99.43,2270.75
12/28/16,100.6,25,81.25,99,100,200,40.56,100.6,2263.79
12/21/16,101.33,30,90,100,100,200,31.32,101.33,2265.18
12/14/16,96.23,-50,75.75,99.5,100,200,51.23,96.23,2253.28
12/7/16,101.6,0,90,100,100,200,44.57,101.6,2241.35
11/30/16,98.02,5,87.5,100,100,200,33.81,98.02,2198.81
11/23/16,86.56,5,69,91.75,100,150,31.9,86.56,2204.72
11/15/16,83.42,-50,67.5,98.5,100,200,45.03,83.42,2176.94
11/9/16,72.96,-150,45,95,100,200,70.25,72.96,2163.26
11/2/16,58.08,-150,29,77.5,100,200,81.97,58.08,2097.94
10/26/16,66.47,-150,50,90,100,200,73.2,66.47,2139.43
10/19/16,63.7,-150,45,90,100,200,79.94,63.7,2144.29
10/12/16,86.53,-100,70.5,90,100,200,57.79,86.53,2139.18
10/5/16,78.49,-50,65,95,100,200,61.21,78.49,2159.73
9/28/16,84.52,-50,69.25,94.25,100,200,48.9,84.52,2171.37
9/21/16,79.31,-50,69,93.5,100,185,53.63,79.31,2163.12
9/14/16,68.55,-100,37.25,96.75,100,200,74.81,68.55,2125.77
9/7/16,90.85,-20,73.2,100,100,200,45.87,90.85,2186.48
8/31/16,88.1,-50,71,100,100,200,50.59,88.1,2176.12
8/24/16,97.8,0,76,100,100,200,52.85,97.8,2175.44
8/17/16,98.79,37,77.5,100,100,200,38.35,98.79,2178.15
8/10/16,92.86,0,75,95,100,200,44.68,92.86,2181.74
8/3/16,93.05,0,70,95,100,200,40.9,93.05,2157.03
7/27/16,101.02,0,87.5,100,100,200,38.76,101.02,2169.18
7/20/16,92.64,-50,70,98,100,200,47.64,92.64,2173.02
7/13/16,96.52,-100,80,100,100,200,55.47,96.52,2152.43
7/6/16,65.43,-100,50,72,100,155,59.46,65.43,2099.73
6/29/16,74.52,-150,64,80,100,200,61.15,74.52,2070.77
6/22/16,69.35,-150,39.9,95,100,200,73.15,69.35,2085.45
6/15/16,75.96,-150,50,99,100,200,74.11,75.96,2071.5
6/8/16,74.8,-150,60,95,100,200,67.61,74.8,2119.12
6/1/16,68.94,-150,53.75,87.5,100,200,58.2,68.94,2099.33
5/25/16,64.67,-150,25.75,77.5,100,200,65.84,64.67,2090.54
5/18/16,60.17,-150,38.05,77.5,100,200,66.03,60.17,2047.63
5/11/16,49.55,-100,7,60,98.75,150,60.33,49.55,2064.46
5/4/16,67.66,-100,33,82.5,100,200,63.56,67.66,2051.12
4/27/16,74.19,-50,45.8,87.5,100,200,56.06,74.19,2095.15
4/20/16,82.5,-100,57.5,95,100,200,59.27,82.5,2102.4
4/13/16,63.97,-100,50,67,100,200,52.27,63.97,2082.42
4/6/16,73.21,-50,50,71.25,100,200,44.99,73.21,2066.66
3/30/16,67.94,-100,46.25,67.5,100,200,51.17,67.94,2063.95
3/23/16,59.59,-100,32.63,62.5,98.75,200,55.94,59.59,2036.71
3/16/16,62.72,-50,33.5,62.5,97.5,200,47.47,62.72,2027.22
3/9/16,51.01,-50,20.5,50,75,200,49.35,51.01,1989.26
3/2/16,54.44,-100,25,50,90,200,56.22,54.44,1986.45
2/24/16,31.65,-100,0,34.4,59,200,57.39,31.65,1929.8
2/17/16,41.05,-9,0,45,65,150,38.55,41.05,1926.82
2/10/16,32.87,-100,0,27.5,50,200,53.13,32.87,1851.86
2/3/16,22.41,-50,0,5,49.5,100,31.78,22.41,1912.53
1/27/16,42.25,0,0,38,62.75,150,41.41,42.25,1882.85
1/20/16,26.32,-150,0,19,50,200,54.6,26.32,1859.33
1/13/16,34.5,-150,5,50,69.2,200,64.93,34.5,1890.28
1/6/16,50.26,-150,6.25,57.5,83.75,200,66.59,50.26,1990.26
12/30/15,47.67,-150,18.75,60,80,200,60.95,47.67,2063.36
12/23/15,56.66,-150,47,66,95,200,58.63,56.66,2064.29
12/16/15,61.32,-150,28,70,92.5,200,64.68,61.32,2073.07
12/9/15,67.92,-36,30,80,100,200,49.78,67.92,2047.62
12/2/15,68.12,-50,40.25,75,100,200,53.48,68.12,2079.51
11/25/15,70.45,-50,56,74.4,95,150,34.74,70.45,2089.14
11/18/15,58.47,-100,48.3,63,95,200,58.42,58.47,2083.58
11/11/15,68.58,-50,50,75,97.9,200,53.11,68.58,2075
11/4/15,69.16,-100,50,75,99.75,200,51.18,69.16,2102.31
10/28/15,56.71,-100,25,50,95,200,57.37,56.71,2090.35
10/21/15,35.67,-50,0,33,60,150,45.35,35.67,2018.94
10/14/15,44.27,-100,0,27.5,83.75,200,67.17,44.27,1994.24
10/7/15,38.3,-50,0,22,70,200,56.83,38.3,1995.83
9/30/15,16.39,-150,0,25,38.5,200,58.08,16.39,1920.03
9/23/15,21.34,-100,0,19,48.6,150,51.72,21.34,1938.76
9/16/15,31.57,-100,0,25,55,150,43.81,31.57,1995.31
9/9/15,26.04,-67,0,18,51.25,150,39.81,26.04,1942.04
9/2/15,23.85,-100,0,19.5,51.04,150,45.74,23.85,1913.85
8/26/15,28.31,-150,0,27.5,63.75,100,54.44,28.31,1867.61
8/19/15,41.48,-150,0,50,80.45,175,56.91,41.48,2079.61
8/12/15,48.08,-150,1.5,50,82,200,62.19,48.08,2086.05
8/5/15,63.17,-150,48.75,76,100,200,63.08,63.17,2099.84
7/29/15,50.75,-150,1.5,64,82.5,200,65.01,50.75,2108.57
7/22/15,52.34,-150,16.75,68.5,89.25,200,69.12,52.34,2114.15
7/15/15,52.24,-150,50,69,81.23,200,62.88,52.24,2107.4
7/8/15,54.99,-150,21.25,62.5,86.5,200,64.15,54.99,2046.68
7/1/15,54.84,-150,34.75,63.8,90,200,60.13,54.84,2077.42
6/24/15,58.96,-150,42,75,85.35,200,58.05,58.96,2108.58
6/17/15,58.64,-150,45,75,89.87,100,51.06,58.64,2100.44
6/10/15,68.7,-150,50,86,100,200,58.29,68.7,2105.2
6/3/15,71.07,-150,63.65,81,100,200,58.57,71.07,2114.07
5/27/15,65.5,-150,50,80,100,200,59.14,65.5,2123.48
5/20/15,67.61,-150,50,80,100,200,55.76,67.61,2125.85
5/13/15,60.38,-150,50,82.98,97,100,54.76,60.38,2098.48
5/6/15,80.3,-50,63,87,100,200,56.96,80.3,2089.46
4/29/15,90.6,0,80,100,100,200,34.27,90.6,2114.76
4/22/15,75.88,-200,69.75,90,100,165,59.57,75.88,2107.96
4/15/15,86.67,0,77.5,94,100,200,40.54,86.67,2106.63
4/8/15,86.73,0,80,95,100,150,28.29,86.73,2081.9
4/1/15,75.86,-100,71.25,85,100,200,54.5,75.86,2059.69
3/25/15,84.32,0,72.5,90,100,175,30.96,84.32,2061.05
3/18/15,67.77,-200,57.5,80,100,200,62.43,67.77,2099.5
3/11/15,65.68,-200,40.25,74.5,98.75,200,67.38,65.68,2044.16
3/4/15,92.15,-50,76.25,98.5,100,200,48.21,92.15,2098.53
2/25/15,99.23,-50,81,100,107.75,200,45.4,99.23,2113.86
2/18/15,87.81,0,73.75,92,100,200,42.56,87.81,2099.68
2/11/15,84.05,0,68,93.5,100,200,37.01,84.05,2068.53
2/4/15,88.24,0,72.5,95.14,100,200,44.06,88.24,2041.51
1/28/15,92.62,0,72.5,95,100,200,39.2,92.62,2002.16
1/21/15,76.23,-200,64.5,81,100,200,66.11,76.23,2032.12
1/14/15,87.13,-50,66.25,84,100,200,53.38,87.13,2011.27
1/7/15,71.11,-200,62.5,85,100,200,73.52,71.11,2025.9
12/31/14,95.86,0,72.5,100,103.26,200,43.31,95.86,2080.35
12/24/14,90.59,0,75,95,100,180,32.71,90.59,2082.17
12/17/14,65.12,-125,50,80,99.5,200,61.82,65.12,2012.89
12/10/14,89.01,-100,70,99,100,200,52.55,89.01,2026.14
12/3/14,86.06,-100,70,90,100,200,53.37,86.06,2074.33
11/25/14,86.78,-200,80,100,107.86,200,64.44,86.78,2067.03
11/19/14,72.06,-125,52.5,77.5,99.04,200,54.69,72.06,2048.72
11/12/14,85.43,-125,65.5,86.5,100,200,59.75,85.43,2038.25
11/5/14,77.68,-125,60,80,100,200,62.91,77.68,2023.57
10/29/14,74.78,-125,50,80,96,200,65.53,74.78,1982.3
10/22/14,41.38,-200,10,50,81,150,62.31,41.38,1927.11
10/15/14,9.97,-200,0,30,50,85,67.69,9.97,1862.49
10/8/14,33.14,-150,17.75,50,63.75,200,66.57,33.14,1968.89
10/1/14,41.03,-125,14,50,83.75,200,66.81,41.03,1946.16
9/24/14,59.76,-125,50,66,91.74,200,55.54,59.76,1998.3
9/17/14,67.08,-125,50,75,95,200,49.13,67.08,2001.57
9/10/14,63.63,-125,46.25,75,95,200,57.33,63.63,1995.69
9/3/14,82.49,-100,55.5,80,100,202,59.21,82.49,2000.72
8/27/14,78.84,-50,61.25,86.5,100,200,47.66,78.84,2000.12
8/20/14,56.77,-125,29.25,68,85.19,200,62.56,56.77,1986.51
8/13/14,50.61,-125,27.25,62.5,82.25,100,45.92,50.61,1946.72
8/6/14,50.87,-125,35,50,80,200,51.8,50.87,1920.24
7/30/14,81.62,-50,70,89,100,150,34.47,81.62,1970.07
7/23/14,82.75,-50,70,91.5,100,170,39.31,82.75,1987.01
7/16/14,81.91,-50,67.75,97.5,100,150,44.72,81.91,1981.57
7/9/14,82.47,0,64.5,100,100,150,35.06,82.47,1972.83
7/2/14,85.48,-50,67,95,100,200,47.5,85.48,1974.62
6/25/14,88.15,-100,70,100,109.48,200,60.45,88.15,1959.53
6/18/14,88.59,-50,68.75,97.5,100,200,44.31,88.59,1956.98
6/11/14,87.3,0,70,95,100,200,38.37,87.3,1943.89
6/4/14,90.86,0,67.5,90,100,200,42.35,90.86,1927.88
5/28/14,72.52,-125,52.75,87.5,100,200,56.38,72.52,1909.78
5/21/14,67.23,-125,50,75,100,177,46.93,67.23,1888.03
5/14/14,78.18,0,58.75,81.5,100,177,30.36,78.18,1888.53
5/7/14,76.81,-9,50,78,100,177,37.4,76.81,1867.12
4/30/14,82.63,-50,59.25,85,100,210,45.8,82.63,1878.33
4/23/14,76.58,-50,60,80,100,167,35.38,76.58,1875.39
4/16/14,75.92,0,55,75,100,167,35.61,75.92,1862.31
4/9/14,85.21,0,66,90,100,150,31.32,85.21,1872.18
4/2/14,91.43,-50,65,85,100,200,44.19,91.43,1890.9
