Year,balance_total,balance_goodsBOP,balance_services,exports_total,exports_goodsBOP,exports_services,imports_total,imports_goodsBOP,imports_services
1995,-96384.0,-174170.0,77786.0,794387.0,575204.0,219183.0,890771.0,749374.0,141397.0
1996,-104065.0,-191000.0,86935.0,851602.0,612113.0,239489.0,955667.0,803113.0,152554.0
1997,-108273.0,-198428.0,90155.0,934453.0,678366.0,256087.0,1042726.0,876794.0,165932.0
1998,-166140.0,-248221.0,82081.0,933174.0,670416.0,262758.0,1099314.0,918637.0,180677.0
1999,-255809.0,-337068.0,81258.0,976525.0,698524.0,278001.0,1232335.0,1035592.0,196742.0
2000,-369686.0,-446783.0,77096.0,1082963.0,784940.0,298023.0,1452650.0,1231722.0,220927.0
2001,-360373.0,-422370.0,61997.0,1015366.0,731331.0,284035.0,1375739.0,1153701.0,222039.0
2002,-420666.0,-475245.0,54579.0,986095.0,698036.0,288059.0,1406762.0,1173281.0,233480.0
2003,-496243.0,-541643.0,45401.0,1028186.0,730446.0,297740.0,1524429.0,1272089.0,252340.0
2004,-610838.0,-664766.0,53927.0,1168120.0,823584.0,344536.0,1778958.0,1488349.0,290609.0
2005,-716542.0,-782804.0,66262.0,1291503.0,913016.0,378487.0,2008045.0,1695820.0,312225.0
2006,-763533.0,-837289.0,73756.0,1463991.0,1040905.0,423086.0,2227523.0,1878194.0,349329.0
2007,-710997.0,-821196.0,110199.0,1660815.0,1165151.0,495664.0,2371811.0,1986347.0,385464.0
2008,-712350.0,-832492.0,120142.0,1849586.0,1308795.0,540791.0,2561936.0,2141287.0,420650.0
2009,-394771.0,-509694.0,114923.0,1592792.0,1070331.0,522461.0,1987563.0,1580025.0,407538.0
2010,-503087.0,-648671.0,145584.0,1872320.0,1290279.0,582041.0,2375407.0,1938950.0,436456.0
2011,-554522.0,-740999.0,186477.0,2143552.0,1498887.0,644665.0,2698074.0,2239886.0,458188.0
2012,-525906.0,-741119.0,215213.0,2247453.0,1562630.0,684823.0,2773359.0,2303749.0,469610.0
2013,-446829.0,-700539.0,253710.0,2313237.0,1593708.0,719529.0,2760066.0,2294247.0,465819.0
2014,-484144.0,-749917.0,265773.0,2392268.0,1635563.0,756705.0,2876412.0,2385480.0,490932.0
2015,-491261.0,-761868.0,270607.0,2279743.0,1511381.0,768362.0,2771004.0,2273249.0,497755.0
2016,-481475.31715758314,-749801.4686089221,268326.15145133896,2238336.6449408056,1457393.0739797035,780943.5709611021,2719811.962098389,2207194.5425886256,512617.4195097632
2017,-512739.31831113505,-799342.8062658447,286603.4879547097,2390778.028234643,1557002.604790164,833775.423444479,2903517.346545778,2356345.4110560087,547171.9354897693
2018,-580950.1650313078,-878749.3149534226,297799.1499221148,2538637.7105056485,1676912.957633169,861724.7528724796,3119587.8755369564,2555662.2725865915,563925.6029503648
2019,-576341.3198619178,-861515.3661730911,285174.04631117336,2528366.9400412478,1652072.0125623269,876294.9274789207,3104708.2599031655,2513587.378735418,591120.8811677473
2020,-676684.3309606295,-922026.4842814824,245342.15332085296,2134441.013644994,1428798.351184427,705642.6624605666,2811125.3446056233,2350824.8354659094,460300.50913971366
